EmployeeID,Age,Gender,MaritalStatus,DistanceFromHome,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,WorkLifeBalance,TrainingHours,Overtime,Attrition
EMP0270,60,Male,Single,10,IT,DevOps Engineer,4,12995,14,5,9,3,4,4,19,No,0
EMP0271,28,Male,Married,8,HR,HR Manager,2,5566,5,1,5,3,4,3,38,No,0
EMP0272,24,Male,Divorced,20,IT,Data Scientist,1,4258,6,1,4,3,3,1,56,Yes,1
EMP0273,58,Male,Divorced,19,Finance,Finance Manager,3,9856,1,1,1,3,3,3,24,No,0
EMP0274,23,Female,Married,17,IT,DevOps Engineer,1,4236,4,1,4,3,4,2,21,Yes,1
EMP0275,40,Male,Single,25,Finance,Accountant,2,5541,11,3,0,3,4,3,34,No,0
EMP0276,20,Female,Single,23,Sales,Sales Representative,1,3039,2,2,2,3,4,3,33,Yes,1
EMP0277,32,Female,Married,27,Sales,Account Manager,3,9816,9,0,8,3,4,2,24,Yes,1
EMP0278,27,Male,Single,12,IT,DevOps Engineer,2,6661,5,5,0,4,4,3,40,Yes,1
EMP0279,44,Male,Single,2,HR,HR Manager,4,12329,4,4,0,3,1,2,26,Yes,1
EMP0280,54,Male,Divorced,24,Sales,Sales Executive,3,8919,15,15,5,3,4,4,19,Yes,1
EMP0281,28,Female,Married,20,IT,DevOps Engineer,2,5789,2,0,0,3,4,4,53,No,0
EMP0282,29,Female,Divorced,20,IT,Software Engineer,1,3487,10,2,9,3,4,3,43,No,1
EMP0283,51,Female,Single,26,Finance,Financial Analyst,4,13206,3,3,1,3,4,2,15,No,0
EMP0284,34,Male,Single,23,IT,Software Engineer,4,12014,12,10,3,3,4,3,16,Yes,1
EMP0285,34,Female,Divorced,12,Sales,Sales Representative,3,9546,6,3,4,4,2,3,45,No,0
EMP0286,40,Female,Divorced,5,IT,DevOps Engineer,3,9603,5,0,1,4,3,4,49,Yes,0
EMP0287,18,Male,Single,16,Finance,Accountant,1,2631,0,0,0,3,2,3,15,Yes,0
EMP0288,43,Female,Divorced,20,IT,DevOps Engineer,4,13012,14,0,3,3,2,1,60,Yes,1
EMP0289,41,Male,Divorced,1,HR,HR Specialist,3,9596,12,5,10,4,4,4,22,Yes,1
EMP0290,23,Female,Divorced,27,Sales,Account Manager,1,4472,2,0,2,3,4,3,46,Yes,1
EMP0291,24,Male,Divorced,10,Sales,Sales Executive,1,4144,4,2,4,3,4,3,34,No,0
EMP0292,47,Female,Divorced,28,IT,IT Support,3,8528,2,1,2,3,4,2,30,No,0
EMP0293,18,Female,Single,10,IT,IT Support,1,3879,0,0,0,3,1,4,21,No,1
EMP0294,54,Female,Single,24,HR,Recruiter,5,17908,7,3,4,3,2,2,25,No,1
EMP0295,23,Female,Divorced,1,IT,IT Support,1,3260,4,2,3,3,4,2,58,No,0
EMP0296,26,Male,Divorced,26,Finance,Financial Analyst,1,3529,5,3,5,3,4,1,54,No,1
EMP0297,31,Female,Divorced,4,Sales,Account Manager,2,5383,8,4,3,3,4,4,31,No,0
EMP0298,44,Female,Married,28,Finance,Financial Analyst,3,8368,4,4,1,3,4,3,25,No,0
EMP0299,27,Female,Single,6,Finance,Financial Analyst,1,4329,8,8,5,4,3,3,45,Yes,1
EMP0300,21,Male,Married,16,IT,IT Support,1,4024,2,1,1,3,4,4,26,No,0
EMP0301,56,Male,Divorced,19,HR,Recruiter,4,12665,15,14,2,4,4,3,39,Yes,1
EMP0302,39,Female,Divorced,20,Finance,Accountant,2,5331,10,3,5,3,4,3,55,No,0
EMP0303,46,Female,Divorced,19,Finance,Financial Analyst,3,8376,0,0,0,3,4,2,52,No,0
EMP0304,23,Male,Single,13,IT,Software Engineer,1,2630,3,0,0,4,4,1,16,No,1
EMP0305,42,Female,Single,8,Sales,Account Manager,4,12258,4,4,1,3,1,3,30,No,1
EMP0306,35,Female,Single,23,HR,HR Manager,4,12935,13,8,10,3,3,3,44,Yes,1
EMP0307,41,Female,Married,5,Sales,Sales Executive,2,6071,4,2,2,4,4,1,54,No,0
EMP0308,18,Female,Married,20,HR,HR Specialist,1,3622,0,0,0,3,2,3,45,No,1
EMP0309,59,Female,Married,8,Sales,Sales Executive,4,13280,7,4,4,3,4,2,14,Yes,1
EMP0310,47,Female,Married,23,Finance,Accountant,4,12039,4,0,4,3,2,1,28,No,1
EMP0311,18,Male,Single,5,IT,IT Support,1,2944,0,0,0,3,4,3,60,No,1
EMP0312,20,Female,Single,27,HR,HR Specialist,1,3045,1,0,1,3,2,3,34,Yes,1
EMP0313,33,Female,Married,8,IT,DevOps Engineer,3,9505,3,1,3,4,4,3,30,Yes,1
EMP0314,53,Male,Married,16,Sales,Sales Executive,4,13817,1,0,0,3,4,3,30,Yes,0
EMP0315,25,Female,Single,1,IT,IT Support,1,3260,1,0,0,4,1,4,31,Yes,1
EMP0316,52,Male,Single,16,HR,Recruiter,5,19114,11,7,11,3,1,3,32,Yes,1
EMP0317,46,Female,Divorced,23,Finance,Accountant,5,17882,11,5,11,4,3,4,45,Yes,1
EMP0318,36,Female,Divorced,12,Finance,Accountant,4,13036,12,11,2,3,4,3,59,Yes,1
EMP0319,52,Female,Single,17,Finance,Finance Manager,3,9255,9,5,6,3,1,1,43,Yes,0
EMP0320,29,Male,Single,4,Finance,Accountant,1,2565,9,6,7,3,1,3,24,Yes,0
EMP0321,59,Female,Single,15,IT,Data Scientist,5,19022,13,13,5,3,4,3,43,Yes,1
EMP0322,22,Male,Divorced,4,IT,DevOps Engineer,1,3588,3,1,1,3,4,2,45,No,0
EMP0323,54,Female,Divorced,15,Finance,Accountant,3,9622,5,4,3,3,4,2,44,No,0
EMP0324,53,Female,Married,14,Finance,Finance Manager,4,13246,7,3,6,3,3,3,38,No,1
EMP0325,36,Male,Divorced,5,Sales,Sales Executive,3,8454,6,6,2,3,4,3,45,Yes,0
EMP0326,27,Male,Married,12,HR,HR Specialist,2,6661,4,0,4,4,4,2,56,Yes,1
EMP0327,29,Female,Divorced,23,IT,Data Scientist,1,3996,9,6,1,3,3,3,37,No,0
EMP0328,32,Male,Divorced,25,Finance,Accountant,3,9073,0,0,0,3,4,4,19,No,0
EMP0329,21,Female,Married,25,IT,DevOps Engineer,1,3384,2,1,0,3,3,1,40,Yes,1
EMP0330,43,Female,Divorced,5,HR,Recruiter,4,12405,15,12,6,3,2,1,27,No,0
EMP0331,23,Male,Divorced,14,Finance,Financial Analyst,1,3213,1,1,1,3,3,2,32,No,0
EMP0332,32,Male,Divorced,12,HR,HR Manager,2,5230,11,0,3,3,3,1,31,Yes,1
EMP0333,39,Male,Divorced,18,HR,HR Specialist,4,13071,8,8,7,3,4,1,34,Yes,1
EMP0334,30,Female,Single,15,IT,Software Engineer,2,6352,4,2,0,3,3,3,24,No,0
EMP0335,38,Female,Divorced,18,IT,DevOps Engineer,2,6025,14,8,14,3,1,2,43,No,1
EMP0336,28,Male,Married,22,Sales,Account Manager,2,5483,8,4,0,3,4,1,45,No,1
EMP0337,43,Male,Single,24,Finance,Finance Manager,4,13254,7,6,3,3,4,3,48,No,0
EMP0338,59,Male,Divorced,18,HR,HR Specialist,4,13410,4,3,1,3,3,1,45,Yes,1
EMP0339,27,Male,Married,29,Finance,Financial Analyst,2,5907,4,1,1,3,2,2,11,No,1
EMP0340,56,Male,Single,22,IT,Data Scientist,3,9409,15,4,15,3,2,3,41,No,1
EMP0341,20,Female,Single,30,Sales,Account Manager,1,2955,2,2,0,3,1,2,38,No,1
EMP0342,33,Female,Married,25,IT,IT Support,4,12640,12,9,11,3,4,1,38,No,1
EMP0343,33,Female,Divorced,2,Finance,Finance Manager,4,13971,1,0,1,4,4,3,59,No,0
EMP0344,57,Male,Divorced,17,HR,Recruiter,5,18425,2,2,2,3,2,4,54,Yes,0
EMP0345,19,Male,Married,19,HR,Recruiter,1,2684,1,1,0,3,1,1,55,No,1
EMP0346,42,Male,Married,18,Finance,Accountant,2,6868,10,9,10,3,2,2,21,Yes,1
EMP0347,46,Female,Divorced,6,IT,DevOps Engineer,3,8007,8,0,7,4,4,4,10,No,0
EMP0348,48,Female,Married,15,IT,Software Engineer,3,9806,8,8,3,3,2,2,13,No,0
EMP0349,60,Female,Married,30,IT,Software Engineer,3,8853,5,1,5,3,4,4,46,Yes,1
EMP0350,41,Male,Single,25,Sales,Account Manager,3,9838,12,1,12,4,4,1,28,No,1
EMP0351,35,Female,Divorced,14,HR,HR Manager,2,6253,1,0,0,4,4,4,60,No,0
EMP0352,34,Female,Single,20,Finance,Finance Manager,4,13294,15,15,5,3,4,3,22,Yes,1
EMP0353,25,Male,Divorced,14,Finance,Accountant,2,5716,3,0,1,3,3,1,29,No,0
EMP0354,18,Male,Divorced,11,Sales,Account Manager,1,3983,0,0,0,3,2,2,31,No,1
EMP0355,48,Male,Divorced,5,Finance,Accountant,5,18443,10,7,6,3,4,3,46,No,1
EMP0356,54,Female,Married,3,HR,Recruiter,3,8694,12,10,8,3,4,4,34,Yes,1
EMP0357,37,Female,Divorced,2,Sales,Account Manager,2,6017,7,5,7,3,2,4,29,Yes,1
EMP0358,30,Male,Married,17,IT,IT Support,1,2889,5,3,5,3,3,2,59,Yes,0
EMP0359,26,Male,Divorced,2,Finance,Financial Analyst,1,2508,4,0,4,3,3,3,12,Yes,1
EMP0360,37,Male,Divorced,25,Sales,Sales Representative,2,5657,6,1,2,3,4,3,59,No,0
EMP0361,28,Female,Single,1,IT,DevOps Engineer,2,6125,5,2,1,3,4,2,20,Yes,0
EMP0362,52,Female,Single,5,IT,IT Support,5,17603,3,3,0,3,4,3,21,No,0
EMP0363,30,Male,Married,19,HR,HR Specialist,2,5199,7,4,7,4,2,2,19,No,1
EMP0364,60,Female,Married,15,Finance,Accountant,3,8973,3,2,3,4,2,3,59,No,0
EMP0365,24,Female,Divorced,26,IT,Data Scientist,1,3638,5,0,2,4,4,4,36,Yes,1
EMP0366,48,Female,Single,11,HR,HR Manager,5,18382,13,9,12,3,4,2,21,Yes,1
EMP0367,49,Male,Divorced,20,Finance,Financial Analyst,5,17699,14,2,4,4,1,4,16,No,1
EMP0368,21,Male,Single,27,HR,HR Manager,1,4349,0,0,0,3,4,2,38,No,0
EMP0369,30,Male,Divorced,29,Sales,Account Manager,2,6881,6,5,2,3,4,1,49,No,0
EMP0370,21,Female,Divorced,2,IT,Data Scientist,1,2724,2,0,0,4,4,4,35,No,0
EMP0371,45,Male,Divorced,6,Finance,Accountant,3,9137,12,5,6,3,3,2,18,Yes,1
EMP0372,49,Female,Single,3,HR,HR Manager,4,13761,14,14,12,4,4,2,39,No,0
EMP0373,40,Male,Single,14,IT,IT Support,4,12484,8,6,8,3,1,1,46,No,1
EMP0374,48,Male,Single,24,Sales,Account Manager,5,17660,2,0,1,3,4,4,47,No,0
EMP0375,52,Male,Married,15,Finance,Finance Manager,5,18178,13,5,12,3,3,2,12,No,0
EMP0376,21,Female,Divorced,6,IT,Data Scientist,1,4156,0,0,0,3,4,1,18,Yes,1
EMP0377,26,Female,Married,28,Sales,Sales Executive,1,3736,2,2,2,3,4,3,33,Yes,1
EMP0378,49,Male,Divorced,28,IT,Data Scientist,3,9981,4,4,1,4,4,3,25,No,0
EMP0379,54,Female,Single,21,Sales,Sales Executive,3,8343,14,6,7,3,4,4,24,No,1
EMP0380,34,Male,Divorced,28,Finance,Accountant,3,9898,14,6,10,3,4,1,16,No,1
EMP0381,59,Female,Married,9,Sales,Sales Executive,4,13340,12,7,12,3,4,4,59,Yes,1
EMP0382,29,Female,Divorced,1,IT,Software Engineer,1,3342,1,0,1,3,2,3,26,Yes,1
EMP0383,21,Male,Divorced,21,IT,Software Engineer,1,2676,1,1,0,3,4,2,26,No,0
EMP0384,58,Female,Married,25,Finance,Finance Manager,5,19076,10,4,2,3,3,1,34,No,1
EMP0385,34,Male,Married,3,Finance,Accountant,4,12804,5,5,3,3,2,4,59,No,0
EMP0386,46,Female,Single,2,IT,Software Engineer,5,18990,8,7,0,4,2,1,12,No,1
EMP0387,43,Male,Divorced,23,Finance,Financial Analyst,3,8827,2,2,0,3,4,3,17,No,0
EMP0388,21,Male,Married,18,Sales,Sales Executive,1,4222,3,2,1,3,4,1,34,Yes,1
EMP0389,24,Female,Married,3,Finance,Finance Manager,1,2888,1,0,0,3,4,4,25,No,0
EMP0390,59,Female,Married,18,Finance,Accountant,3,8694,1,1,0,4,1,2,51,No,1
EMP0391,52,Male,Divorced,19,HR,HR Specialist,3,9506,4,3,0,4,4,1,25,Yes,1
EMP0392,37,Male,Married,20,HR,HR Manager,2,6674,3,0,3,3,1,2,37,No,0
EMP0393,43,Female,Single,22,HR,Recruiter,2,6565,1,0,1,3,1,3,19,No,1
EMP0394,28,Female,Single,30,IT,DevOps Engineer,1,4120,10,9,6,3,1,3,15,Yes,0
EMP0395,59,Female,Married,23,Finance,Finance Manager,3,8422,4,2,4,4,4,2,21,Yes,1
EMP0396,57,Male,Divorced,27,Sales,Account Manager,4,12009,7,3,1,3,4,3,58,Yes,1
EMP0397,31,Female,Single,7,IT,DevOps Engineer,2,6018,2,0,2,3,1,3,28,Yes,1
EMP0398,47,Male,Single,24,IT,DevOps Engineer,3,9608,0,0,0,4,4,1,14,Yes,1
EMP0399,38,Female,Single,24,Sales,Sales Executive,2,5667,7,1,3,4,2,3,24,Yes,1
EMP0400,45,Male,Single,30,Finance,Accountant,4,12764,4,3,1,3,3,2,31,Yes,1
EMP0401,35,Male,Single,28,Finance,Financial Analyst,3,8350,10,3,4,3,4,4,20,Yes,0
EMP0402,49,Male,Divorced,16,Finance,Financial Analyst,3,9495,13,11,13,3,2,3,37,Yes,1
EMP0403,27,Male,Married,2,IT,IT Support,1,3371,8,6,7,3,4,3,25,Yes,1
EMP0404,44,Male,Single,12,Sales,Sales Executive,4,12185,0,0,0,4,4,3,20,No,0
EMP0405,19,Female,Married,25,HR,HR Manager,1,3330,0,0,0,3,4,3,55,Yes,1
EMP0406,39,Male,Married,14,Sales,Sales Representative,4,13110,6,6,5,3,4,3,57,Yes,0
EMP0407,41,Male,Single,13,Sales,Account Manager,4,12083,11,5,2,3,4,2,18,No,0
EMP0408,48,Male,Divorced,25,HR,Recruiter,4,13838,8,8,6,3,1,1,33,No,1
EMP0409,25,Female,Divorced,18,Sales,Account Manager,2,6638,1,0,1,3,1,3,21,No,1
EMP0410,28,Female,Single,23,HR,Recruiter,1,4291,3,0,2,4,4,4,18,No,0
EMP0411,59,Male,Married,7,IT,Software Engineer,3,9709,10,6,9,3,4,3,41,No,0
EMP0412,37,Male,Married,8,Finance,Financial Analyst,3,9576,1,0,1,3,4,2,49,Yes,0
EMP0413,29,Male,Single,8,IT,Software Engineer,2,6176,2,1,1,3,2,2,45,Yes,0
EMP0414,27,Female,Married,18,HR,HR Manager,2,5248,0,0,0,4,4,2,39,No,0
EMP0415,52,Female,Divorced,23,Sales,Account Manager,4,13985,4,4,3,3,4,1,56,No,0
EMP0416,53,Male,Married,1,Finance,Finance Manager,3,8913,11,1,5,3,4,2,47,Yes,1
EMP0417,30,Male,Single,18,Finance,Finance Manager,1,4498,8,6,3,4,3,4,48,Yes,0
EMP0418,27,Female,Married,13,Sales,Sales Executive,2,5706,5,2,3,3,2,3,57,No,0
EMP0419,45,Female,Single,27,IT,DevOps Engineer,3,8621,15,10,2,4,1,1,36,No,1
EMP0420,54,Male,Single,6,Finance,Financial Analyst,5,18504,1,1,1,4,4,3,24,Yes,0
EMP0421,37,Female,Single,21,Sales,Account Manager,2,6007,7,0,1,3,4,1,48,No,0
EMP0422,34,Female,Divorced,27,IT,Data Scientist,4,13501,0,0,0,3,2,4,13,Yes,0
EMP0423,26,Female,Single,2,Sales,Account Manager,2,6303,5,0,2,3,4,1,42,Yes,1
EMP0424,24,Male,Divorced,11,Sales,Sales Representative,1,4138,2,1,2,3,1,4,47,No,1
EMP0425,51,Female,Married,25,Finance,Financial Analyst,4,13886,5,0,1,3,4,2,22,Yes,0
EMP0426,25,Male,Single,16,Sales,Account Manager,2,5284,7,5,2,3,1,1,24,Yes,1
EMP0427,32,Female,Single,7,HR,HR Specialist,3,9414,12,12,1,3,1,3,58,No,0
EMP0428,60,Male,Married,4,Sales,Sales Executive,3,8617,0,0,0,3,1,4,23,Yes,1
EMP0429,23,Male,Divorced,9,Sales,Account Manager,1,2828,4,4,1,3,1,4,58,Yes,1
EMP0430,36,Male,Divorced,1,IT,DevOps Engineer,4,13743,15,11,5,4,4,1,21,No,0
EMP0431,50,Male,Married,4,Sales,Sales Executive,4,12225,4,3,2,3,4,1,15,No,0
EMP0432,47,Female,Divorced,27,Finance,Accountant,5,18334,9,6,3,3,4,3,21,Yes,0
EMP0433,24,Female,Married,17,IT,Software Engineer,1,2793,3,3,0,3,1,3,22,No,1
EMP0434,43,Male,Single,27,Finance,Finance Manager,3,8570,8,6,5,4,4,4,35,No,1
EMP0435,47,Male,Single,9,Finance,Financial Analyst,3,9286,4,0,0,3,1,3,53,Yes,1
EMP0436,38,Male,Married,20,IT,Software Engineer,4,13539,15,14,6,3,4,3,41,No,0
EMP0437,52,Male,Single,14,IT,IT Support,4,12644,12,7,7,3,1,2,45,No,1
EMP0438,45,Male,Married,23,Finance,Financial Analyst,3,9165,15,15,15,3,4,1,35,No,0
EMP0439,57,Female,Married,11,IT,Software Engineer,5,17592,4,2,2,3,4,3,34,Yes,0
EMP0440,44,Female,Single,22,HR,HR Specialist,2,6327,9,9,1,3,3,1,31,Yes,1
EMP0441,47,Female,Divorced,17,Finance,Financial Analyst,3,9425,15,0,10,4,4,3,30,Yes,1
EMP0442,31,Female,Married,17,Sales,Sales Executive,2,5744,6,1,3,3,4,2,28,No,0
EMP0443,43,Male,Divorced,24,IT,Software Engineer,4,12689,8,1,8,4,4,2,32,Yes,1
EMP0444,37,Female,Divorced,18,Sales,Sales Executive,3,8823,8,8,7,3,1,4,21,No,0
EMP0445,47,Female,Divorced,18,Finance,Finance Manager,5,18783,1,0,1,4,2,2,19,No,0
EMP0446,22,Male,Married,9,Sales,Sales Representative,1,2828,2,2,2,3,4,2,17,Yes,1
EMP0447,37,Female,Married,18,Finance,Financial Analyst,4,13854,1,0,0,3,2,1,26,No,0
EMP0448,20,Female,Single,2,IT,Data Scientist,1,3732,1,0,1,3,4,1,35,Yes,1
EMP0449,50,Male,Divorced,22,Sales,Account Manager,3,8487,3,2,2,4,4,2,37,Yes,1
EMP0450,35,Female,Married,9,IT,IT Support,4,12767,3,2,3,4,4,2,27,Yes,0
EMP0451,37,Male,Divorced,29,IT,Software Engineer,4,13878,7,4,6,3,4,3,53,Yes,1
EMP0452,46,Female,Single,30,Finance,Financial Analyst,4,12184,7,4,3,3,4,3,59,No,0
EMP0453,23,Female,Married,24,Finance,Financial Analyst,1,3969,3,0,1,3,4,1,32,No,1
EMP0454,38,Female,Divorced,1,IT,DevOps Engineer,4,12908,4,0,3,3,4,3,30,Yes,0
EMP0455,59,Male,Divorced,22,Finance,Financial Analyst,4,12979,4,2,1,3,3,2,15,No,0
EMP0456,42,Male,Single,1,HR,HR Specialist,3,8406,8,2,0,4,4,3,48,No,0
EMP0457,28,Male,Single,23,Finance,Financial Analyst,2,5242,3,1,1,3,3,3,34,Yes,1
EMP0458,31,Female,Divorced,22,HR,Recruiter,1,3336,12,2,0,3,3,2,49,No,0
EMP0459,59,Female,Single,1,Finance,Accountant,4,13995,12,10,3,4,4,3,57,No,0
EMP0460,21,Female,Single,16,Sales,Sales Representative,1,4423,0,0,0,3,3,4,49,No,0
EMP0461,41,Male,Divorced,2,HR,Recruiter,2,6031,15,10,14,3,1,3,55,No,1
EMP0462,20,Male,Married,28,Sales,Sales Representative,1,3238,1,1,1,3,4,3,37,Yes,0
EMP0463,27,Female,Single,7,HR,HR Specialist,1,2875,0,0,0,4,3,2,55,No,0
EMP0464,49,Male,Married,12,Finance,Financial Analyst,4,12230,4,0,2,3,2,3,21,Yes,1
EMP0465,54,Male,Divorced,1,HR,Recruiter,3,8504,15,3,10,3,3,1,35,No,0
EMP0466,38,Male,Single,3,Finance,Finance Manager,4,12982,14,10,4,3,3,1,51,No,1
EMP0467,54,Male,Single,28,IT,Data Scientist,4,13634,1,0,1,3,4,3,21,Yes,1
EMP0468,23,Male,Single,6,Finance,Financial Analyst,1,3083,5,5,1,3,3,3,37,No,1
EMP0469,40,Male,Married,17,HR,Recruiter,3,9813,12,7,4,4,1,3,33,Yes,1
EMP0470,20,Female,Married,22,HR,HR Manager,1,3905,2,0,1,3,3,3,37,Yes,1
EMP0471,27,Male,Divorced,29,Sales,Sales Executive,2,5605,9,0,8,3,1,4,16,No,1
EMP0472,54,Female,Married,9,IT,Software Engineer,3,9516,14,2,12,3,4,1,15,No,0
EMP0473,55,Female,Divorced,15,Sales,Account Manager,3,8432,5,0,5,3,4,1,37,Yes,1
EMP0474,28,Female,Married,23,Finance,Finance Manager,2,5620,9,9,5,4,3,1,18,Yes,1
EMP0475,19,Male,Single,7,Finance,Finance Manager,1,2797,0,0,0,4,4,4,22,Yes,1
EMP0476,48,Female,Single,4,HR,HR Specialist,5,18938,14,7,7,3,4,4,25,Yes,1
EMP0477,43,Male,Married,1,IT,IT Support,3,9737,15,9,1,4,4,3,42,No,0
EMP0478,19,Female,Divorced,11,IT,Data Scientist,1,4328,1,1,0,4,4,3,38,No,0
EMP0479,30,Female,Married,15,HR,HR Manager,1,3703,10,5,9,4,2,3,56,No,1
EMP0480,59,Female,Married,26,HR,HR Manager,3,8578,2,2,1,3,2,2,20,No,1
EMP0481,49,Female,Single,7,IT,Software Engineer,4,13804,8,5,2,3,4,1,14,No,0
EMP0482,25,Male,Married,9,Sales,Account Manager,1,4077,4,1,4,3,4,1,38,No,1
EMP0483,24,Male,Divorced,2,IT,DevOps Engineer,1,3790,0,0,0,3,3,2,56,No,0
EMP0484,49,Male,Single,21,Sales,Account Manager,3,8251,6,3,3,3,2,3,31,No,1
EMP0485,41,Female,Married,21,HR,HR Specialist,4,12863,7,2,6,4,4,3,43,No,0
EMP0486,18,Male,Single,11,Sales,Account Manager,1,4081,0,0,0,3,4,1,35,Yes,1
EMP0487,54,Male,Divorced,23,Sales,Account Manager,4,13814,9,5,5,3,3,4,49,Yes,1
EMP0488,31,Female,Divorced,12,Finance,Accountant,2,5172,0,0,0,3,4,2,43,No,0
EMP0489,37,Female,Divorced,6,IT,Software Engineer,4,13213,8,3,4,4,4,1,56,Yes,1
EMP0490,50,Female,Single,2,IT,IT Support,4,13172,0,0,0,4,3,2,57,Yes,1
EMP0491,54,Male,Divorced,13,HR,HR Specialist,4,13057,6,6,6,3,4,1,19,No,1
EMP0492,21,Female,Single,16,HR,Recruiter,1,2659,2,2,2,4,4,4,43,No,1
EMP0493,58,Female,Married,23,Finance,Finance Manager,4,13687,5,1,4,3,4,3,18,Yes,1
EMP0494,20,Male,Divorced,12,IT,IT Support,1,2725,0,0,0,3,4,3,12,Yes,1
EMP0495,41,Female,Married,16,IT,DevOps Engineer,2,6605,13,0,4,3,2,2,57,No,0
EMP0496,22,Male,Married,16,Sales,Sales Representative,1,3426,2,1,1,3,2,4,50,No,0
EMP0497,27,Female,Single,26,Finance,Financial Analyst,1,4343,6,2,4,3,4,3,57,No,1
EMP0498,19,Female,Divorced,21,IT,Software Engineer,1,2894,0,0,0,3,4,4,11,Yes,1
EMP0499,19,Female,Single,8,Finance,Accountant,1,4152,1,1,0,4,1,3,37,Yes,1
EMP0500,38,Female,Married,3,IT,Software Engineer,4,12344,9,2,2,3,1,2,29,No,1
